m_A0_GeV,B1B2_UL_blue
5.244229390680974,3.372018174012239e-06
5.254229390680973,3.4070556704316796e-06
5.264229390680973,3.4316497755939816e-06
5.274229390680973,3.4316497755939816e-06
5.284229390680973,3.4316497755939816e-06
5.2942293906809725,3.4726995114251803e-06
5.304229390680972,3.5289532996235684e-06
5.314229390680972,3.5912993772336197e-06
5.324229390680972,3.7166563871366847e-06
5.334229390680972,3.8636404196421305e-06
5.3442293906809715,4.0705965361081e-06
5.354229390680971,4.225035227499845e-06
5.364229390680971,4.3260812769384475e-06
5.374229390680971,4.429222445625828e-06
5.384229390680971,4.688301049363516e-06
5.39422939068097,4.970057123902158e-06
5.40422939068097,5.353496926423195e-06
5.41422939068097,5.628635766382926e-06
5.42422939068097,5.945150032441255e-06
5.4342293906809696,6.217470579470937e-06
5.444229390680969,6.381461265001234e-06
5.454229390680969,6.5810972018693835e-06
5.464229390680969,6.7192321212998005e-06
5.474229390680969,6.828409008585842e-06
5.4842293906809685,6.84147843946156e-06
5.494229390680968,6.875085547429002e-06
5.504229390680968,6.94525401067361e-06
5.514229390680968,7.0627096776939245e-06
5.524229390680968,7.161921982989827e-06
5.534229390680967,7.260169256940389e-06
5.544229390680967,7.359764287381673e-06
5.554229390680967,7.359764287381673e-06
5.564229390680967,7.260169256940389e-06
5.574229390680967,7.260169256940389e-06
5.584229390680966,7.3899495024031915e-06
5.594229390680966,7.640765663436422e-06
5.604229390680966,7.885528880759467e-06
5.614229390680966,8.257476656162409e-06
5.6242293906809655,8.642942972845886e-06
5.634229390680965,8.984783337094238e-06
5.644229390680965,9.340436717212452e-06
5.654229390680965,9.761086213957618e-06
5.664229390680965,1.0163152189347705e-05
5.674229390680964,1.058740930482749e-05
5.684229390680964,1.0914180230613104e-05
5.694229390680964,1.1163189142939874e-05
5.704229390680964,1.1381854192049197e-05
5.714229390680964,1.158657414792927e-05
5.724229390680963,1.1764067558829991e-05
5.734229390680963,1.2019368678691635e-05
5.744229390680963,1.207589480351407e-05
5.754229390680963,1.1893676171863004e-05
5.7642293906809625,1.179425173205159e-05
5.774229390680962,1.1615602421545104e-05
5.784229390680962,1.1249694917666364e-05
5.794229390680962,1.089565550610917e-05
5.804229390680962,1.0339046550856703e-05
5.8142293906809615,9.81064979478354e-06
5.824229390680961,9.225828220719497e-06
5.834229390680961,8.632434679061127e-06
5.844229390680961,8.123030106776125e-06
5.854229390680961,7.547121269935714e-06
5.86422939068096,6.99005904056385e-06
5.87422939068096,6.541545982058352e-06
5.88422939068096,6.174399177914175e-06
5.89422939068096,5.863181572944193e-06
5.9042293906809595,5.719073517300148e-06
5.914229390680959,5.604291417284961e-06
5.924229390680959,5.566242592405231e-06
5.934229390680959,5.6703712909377025e-06
5.944229390680959,5.914351882487791e-06
5.9542293906809585,6.097032299180852e-06
5.964229390680958,6.2249035491726215e-06
5.974229390680958,6.320275723550584e-06
5.984229390680958,6.2924035593363974e-06
5.994229390680958,6.244930762555115e-06
6.004229390680957,6.192755437501633e-06
6.014229390680957,6.165109979712778e-06
6.024229390680957,6.015183417625513e-06
6.034229390680957,5.834948730443402e-06
6.0442293906809565,5.621831025517331e-06
6.054229390680956,5.416443523063108e-06
6.064229390680956,5.13164158210848e-06
